log2(C) = 11.000000
log2(g) = -5.000000
accuracy = 0.936813

confusion matrix (absolute)
	1	2	3	4	5	6	7	8
1	192.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
2	7.0	76.0	2.0	0.0	0.0	0.0	0.0	0.0
3	0.0	2.0	56.0	3.0	3.0	0.0	0.0	1.0
4	0.0	0.0	1.0	75.0	0.0	0.0	2.0	0.0
5	0.0	0.0	7.0	0.0	20.0	0.0	1.0	0.0
6	0.0	0.0	0.0	0.0	0.0	55.0	4.0	4.0
7	0.0	0.0	0.0	2.0	0.0	2.0	98.0	0.0
8	0.0	0.0	0.0	1.0	0.0	1.0	0.0	110.0

confusion matrix (relative)
	1	2	3	4	5	6	7	8
1	0.984615384615	0.00512820512821	0.0	0.0	0.0	0.0	0.0102564102564	0.0
2	0.0823529411765	0.894117647059	0.0235294117647	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0307692307692	0.861538461538	0.0461538461538	0.0461538461538	0.0	0.0	0.0153846153846
4	0.0	0.0	0.0128205128205	0.961538461538	0.0	0.0	0.025641025641	0.0
5	0.0	0.0	0.25	0.0	0.714285714286	0.0	0.0357142857143	0.0
6	0.0	0.0	0.0	0.0	0.0	0.873015873016	0.0634920634921	0.0634920634921
7	0.0	0.0	0.0	0.0196078431373	0.0	0.0196078431373	0.960784313725	0.0
8	0.0	0.0	0.0	0.00892857142857	0.0	0.00892857142857	0.0	0.982142857143
