log2(C) = 5.000000
log2(g) = -7.000000
accuracy = 0.952854

confusion matrix (absolute)
	1	2	3	4	5	6
1	56.0	1.0	0.0	0.0	0.0	0.0
2	2.0	39.0	3.0	0.0	0.0	1.0
3	0.0	4.0	34.0	3.0	0.0	0.0
4	0.0	0.0	4.0	74.0	0.0	0.0
5	0.0	0.0	0.0	0.0	53.0	0.0
6	1.0	0.0	0.0	0.0	0.0	128.0

confusion matrix (relative)
	1	2	3	4	5	6
1	0.982456140351	0.0175438596491	0.0	0.0	0.0	0.0
2	0.0444444444444	0.866666666667	0.0666666666667	0.0	0.0	0.0222222222222
3	0.0	0.0975609756098	0.829268292683	0.0731707317073	0.0	0.0
4	0.0	0.0	0.0512820512821	0.948717948718	0.0	0.0
5	0.0	0.0	0.0	0.0	1.0	0.0
6	0.0077519379845	0.0	0.0	0.0	0.0	0.992248062016
